Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.57,Industrial (Acidic Rain),0.1,1.723,0.1,1.0,0.090116,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.33,Industrial (Acidic Rain),0.1,2.949,0.3,2.0,0.075045,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.71,Rural (Freshwater),0.01,0.872,0.3,10.0,0.005692,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.41,Rural (Freshwater),0.01,4.624,0.3,1.0,0.017853,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Industrial (Acidic Rain),0.1,2.024,0.1,5.0,0.02754,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (active),"Nickel, Cobalt",16,0.22,Industrial (Acidic Rain),0.1,9.934,5.0,2.0,0.140737,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Nickel (passive),"Nickel, Cobalt",16,0.58,Marine (Seawater),5.0,2.843,0.1,2.0,0.719874,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Rural (Freshwater),0.01,10.93,0.3,1.0,0.046709,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Industrial (Acidic Rain),0.1,3.329,2.0,10.0,0.030812,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.34,Industrial (Acidic Rain),0.1,0.539,1.0,10.0,0.009194,Compatible
Nickel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Marine (Seawater),5.0,7.493,2.0,10.0,0.311913,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.43,Marine (Seawater),5.0,0.707,0.3,2.0,0.115003,Unfavorable
Silver solder,Silver,18,Silver,Silver,18,0.18,Industrial (Acidic Rain),0.1,0.202,10.0,10.0,0.001216,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.14,Marine (Seawater),5.0,12.431,1.0,2.0,0.563589,Compatible
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,1.5,Marine (Seawater),5.0,0.5,0.1,5.0,0.14216,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.1,Rural (Freshwater),0.01,0.942,1.0,5.0,0.000859,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Rural (Freshwater),0.01,1.04,5.0,10.0,0.006369,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.31,Industrial (Acidic Rain),0.1,2.047,1.0,10.0,0.031523,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.21,Industrial (Acidic Rain),0.1,0.255,1.0,10.0,0.002769,Compatible
Nickel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Rural (Freshwater),0.01,7.514,2.0,2.0,0.02303,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.2,Rural (Freshwater),0.01,0.495,0.3,2.0,0.001005,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.3,Marine (Seawater),5.0,0.447,1.0,10.0,0.011918,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.06,Industrial (Acidic Rain),0.1,0.15,1.0,1.0,0.000722,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.39,Rural (Freshwater),0.01,0.069,1.0,10.0,0.000265,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.83,Marine (Seawater),5.0,7.96,0.3,10.0,0.62582,Unfavorable
Nickel (active),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.27,Marine (Seawater),5.0,4.63,2.0,5.0,0.175268,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Steel or iron,"Steels-Carbon, Low Alloy",6,0.0,Rural (Freshwater),0.01,0.149,0.3,0.3,0.0,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.5,Marine (Seawater),5.0,2.391,0.3,5.0,0.210829,Unfavorable
Lead,Lead,7,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.24,Rural (Freshwater),0.01,4.298,0.3,1.0,0.011288,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.4,Marine (Seawater),5.0,2.237,5.0,1.0,0.147096,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Nickel (passive),"Nickel, Cobalt",16,1.48,Marine (Seawater),5.0,6.037,0.1,2.0,3.624232,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Rural (Freshwater),0.01,0.437,1.0,10.0,0.00062,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chlorimet 2,"Nickel, Cobalt",16,0.05,Industrial (Acidic Rain),0.1,2.867,2.0,2.0,0.009978,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Nickel (passive),"Nickel, Cobalt",16,0.05,Rural (Freshwater),0.01,0.925,1.0,2.0,0.000431,Compatible
Tin,"Tin, Tin-Lead, Indium",8,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.38,Marine (Seawater),5.0,0.11,0.3,2.0,0.017493,Unfavorable
Lead,Lead,7,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.3,Rural (Freshwater),0.01,5.709,0.3,1.0,0.016011,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,2.511,0.3,1.0,0.07874,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Silver,Silver,18,0.32,Marine (Seawater),5.0,5.192,2.0,10.0,0.133523,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.11,Industrial (Acidic Rain),0.1,4.478,1.0,2.0,0.039463,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Silver solder,Silver,18,0.41,Industrial (Acidic Rain),0.1,0.247,0.3,10.0,0.004836,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.53,Industrial (Acidic Rain),0.1,0.766,0.1,0.3,0.039523,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.01,Marine (Seawater),5.0,2.763,0.1,0.1,0.068506,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (active),"Nickel, Cobalt",16,0.22,Marine (Seawater),5.0,0.157,5.0,2.0,0.004961,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.65,Marine (Seawater),5.0,17.588,0.1,2.0,4.730381,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.99,Industrial (Acidic Rain),0.1,0.62,0.1,2.0,0.047854,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.05,Marine (Seawater),5.0,9.539,1.0,1.0,0.203493,Compatible
Zinc,"Zinc, Zinc Coating",2,Nickel (passive),"Nickel, Cobalt",16,0.91,Industrial (Acidic Rain),0.1,7.659,0.1,2.0,0.584361,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Marine (Seawater),5.0,2.397,5.0,10.0,0.11971,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.55,Marine (Seawater),5.0,0.694,0.1,1.0,0.322415,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.57,Rural (Freshwater),0.01,0.021,0.3,2.0,0.000134,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Chlorimet 2,"Nickel, Cobalt",16,1.32,Marine (Seawater),5.0,15.92,0.1,2.0,8.812072,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.04,Industrial (Acidic Rain),0.1,0.107,0.3,5.0,0.000281,Compatible
Graphite,Graphite,20,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.09,Marine (Seawater),5.0,9.2,10.0,10.0,0.043377,Compatible
Tin,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.37,Rural (Freshwater),0.01,1.562,0.3,5.0,0.00513,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.4,Rural (Freshwater),0.01,15.221,1.0,10.0,0.053446,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Graphite,Graphite,20,0.17,Rural (Freshwater),0.01,2.503,2.0,10.0,0.003632,Compatible
Copper,"Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.1,Industrial (Acidic Rain),0.1,0.949,1.0,5.0,0.005671,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,1.56,Industrial (Acidic Rain),0.1,1.173,0.1,2.0,0.151344,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Silver,Silver,18,1.07,Marine (Seawater),5.0,1.967,0.1,10.0,0.19401,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.38,Industrial (Acidic Rain),0.1,19.036,0.3,2.0,0.598954,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.34,Rural (Freshwater),0.01,2.649,1.0,10.0,0.007878,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.08,Marine (Seawater),5.0,0.173,0.3,5.0,0.00266,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Gold,"Palladium, Rhodium, Gold, Platinum",19,1.76,Marine (Seawater),5.0,0.332,0.1,10.0,0.056639,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,1.07,Rural (Freshwater),0.01,0.708,0.1,5.0,0.006931,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.49,Industrial (Acidic Rain),0.1,0.392,5.0,2.0,0.012101,Compatible
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Silver,Silver,18,0.08,Industrial (Acidic Rain),0.1,2.317,2.0,10.0,0.008308,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.1,Industrial (Acidic Rain),0.1,1.859,1.0,5.0,0.012052,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.1,Rural (Freshwater),0.01,0.66,1.0,5.0,0.000614,Compatible
Inconel (active),"Nickel, Cobalt",16,Titanium,Titanium,17,0.41,Industrial (Acidic Rain),0.1,0.9,2.0,10.0,0.017318,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Titanium,Titanium,17,0.16,Marine (Seawater),5.0,1.493,5.0,10.0,0.01461,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.11,Industrial (Acidic Rain),0.1,0.808,1.0,2.0,0.00725,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.49,Rural (Freshwater),0.01,7.592,0.1,1.0,0.036373,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.39,Marine (Seawater),5.0,0.828,1.0,10.0,0.028047,Compatible
Copper,"Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.08,Rural (Freshwater),0.01,1.296,1.0,1.0,0.000955,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.33,Industrial (Acidic Rain),0.1,1.829,0.3,2.0,0.043213,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Lead,Lead,7,0.22,Rural (Freshwater),0.01,0.068,0.1,0.3,0.000151,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.65,Marine (Seawater),5.0,0.128,0.1,5.0,0.016394,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver solder,Silver,18,0.03,Marine (Seawater),5.0,0.45,1.0,10.0,0.001161,Compatible
Nickel (active),"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,0.375,2.0,2.0,0.027924,Compatible
Magnesium and magnesium alloys,Magnesium,1,Lead-tin solders,"Tin, Tin-Lead, Indium",8,1.1,Industrial (Acidic Rain),0.1,0.213,0.1,0.3,0.022446,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,0.866,2.0,2.0,0.061918,Compatible
Cadmium,"Cadmium, Beryllium",3,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.17,Marine (Seawater),5.0,8.472,0.1,5.0,0.262347,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Zinc,"Zinc, Zinc Coating",2,0.57,Marine (Seawater),5.0,0.211,0.1,0.1,0.334539,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Industrial (Acidic Rain),0.1,0.42,0.3,5.0,0.01361,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.43,Rural (Freshwater),0.01,0.084,0.3,1.0,0.00037,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.06,Industrial (Acidic Rain),0.1,2.674,0.3,0.3,0.015262,Compatible
Cadmium,"Cadmium, Beryllium",3,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.37,Marine (Seawater),5.0,5.656,0.1,2.0,0.885885,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.03,Industrial (Acidic Rain),0.1,12.319,5.0,0.3,0.024745,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Titanium,Titanium,17,0.16,Industrial (Acidic Rain),0.1,0.112,5.0,10.0,0.000737,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.13,Marine (Seawater),5.0,5.741,1.0,2.0,0.205955,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.0,Industrial (Acidic Rain),0.1,0.23,5.0,5.0,0.0,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.04,Rural (Freshwater),0.01,0.192,5.0,2.0,7.4e-05,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.11,Industrial (Acidic Rain),0.1,11.937,1.0,1.0,0.112684,Compatible
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Graphite,Graphite,20,0.17,Rural (Freshwater),0.01,2.446,2.0,10.0,0.003563,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.79,Industrial (Acidic Rain),0.1,0.143,5.0,10.0,0.004379,Unfavorable
Nickel (active),"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.3,Industrial (Acidic Rain),0.1,1.177,2.0,5.0,0.019005,Compatible
Chlorimet 2,"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.23,Industrial (Acidic Rain),0.1,14.282,2.0,5.0,0.186169,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.35,Industrial (Acidic Rain),0.1,1.135,0.3,1.0,0.03414,Unfavorable
Silver,Silver,18,Titanium,Titanium,17,0.02,Marine (Seawater),5.0,3.516,10.0,10.0,0.003297,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.4,Rural (Freshwater),0.01,0.909,5.0,1.0,0.003254,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,1.56,Marine (Seawater),5.0,0.588,0.1,2.0,0.430154,Unfavorable
Lead,Lead,7,Nickel (passive),"Nickel, Cobalt",16,0.35,Industrial (Acidic Rain),0.1,46.523,0.3,2.0,1.207681,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.14,Rural (Freshwater),0.01,5.438,5.0,10.0,0.007252,Compatible
Inconel (active),"Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.18,Rural (Freshwater),0.01,0.437,2.0,1.0,0.000787,Compatible
Inconel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Industrial (Acidic Rain),0.1,9.599,2.0,1.0,0.141835,Compatible
Zinc,"Zinc, Zinc Coating",2,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.34,Rural (Freshwater),0.01,0.591,0.1,0.1,0.001965,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.59,Rural (Freshwater),0.01,1.416,5.0,10.0,0.007021,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Graphite,Graphite,20,0.74,Rural (Freshwater),0.01,0.751,0.3,10.0,0.005225,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,1.03,Marine (Seawater),5.0,0.04,0.1,5.0,0.00791,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver solder,Silver,18,0.19,Marine (Seawater),5.0,0.926,2.0,10.0,0.014151,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Silver solder,Silver,18,0.28,Marine (Seawater),5.0,0.185,0.3,10.0,0.004954,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.61,Industrial (Acidic Rain),0.1,0.062,5.0,10.0,0.001441,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.3,Industrial (Acidic Rain),0.1,0.699,1.0,10.0,0.010488,Unfavorable
Silver,Silver,18,Graphite,Graphite,20,0.09,Rural (Freshwater),0.01,0.246,10.0,10.0,0.000189,Compatible
Silver,Silver,18,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.12,Rural (Freshwater),0.01,0.363,10.0,10.0,0.000385,Compatible
Nickel (passive),"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Industrial (Acidic Rain),0.1,0.328,2.0,5.0,0.000368,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.03,Industrial (Acidic Rain),0.1,0.65,1.0,1.0,0.001623,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.18,Marine (Seawater),5.0,0.751,1.0,5.0,0.021555,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Titanium,Titanium,17,0.67,Rural (Freshwater),0.01,0.169,0.3,10.0,0.001104,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.06,Marine (Seawater),5.0,1.255,5.0,2.0,0.010251,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.55,Rural (Freshwater),0.01,0.721,0.1,1.0,0.003931,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.15,Rural (Freshwater),0.01,0.177,2.0,1.0,0.00027,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.27,Industrial (Acidic Rain),0.1,0.18,0.3,2.0,0.003989,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Tin,"Tin, Tin-Lead, Indium",8,0.28,Marine (Seawater),5.0,1.413,0.1,0.3,0.59508,Compatible
Cadmium,"Cadmium, Beryllium",3,Silver solder,Silver,18,0.56,Rural (Freshwater),0.01,0.161,0.1,10.0,0.000835,Unfavorable
Copper,"Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.15,Rural (Freshwater),0.01,0.226,1.0,5.0,0.000346,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.91,Industrial (Acidic Rain),0.1,0.203,0.1,10.0,0.009102,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.5,Industrial (Acidic Rain),0.1,9.346,2.0,10.0,0.20647,Compatible
Nickel (active),"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.12,Industrial (Acidic Rain),0.1,1.459,2.0,1.0,0.013021,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.18,Rural (Freshwater),0.01,0.06,2.0,1.0,0.000103,Compatible
Silver solder,Silver,18,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.09,Marine (Seawater),5.0,0.281,10.0,5.0,0.001716,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Graphite,Graphite,20,0.86,Marine (Seawater),5.0,7.116,0.1,10.0,0.614579,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Graphite,Graphite,20,0.31,Marine (Seawater),5.0,0.706,1.0,10.0,0.020681,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.36,Industrial (Acidic Rain),0.1,27.774,5.0,1.0,0.60717,Compatible
